English Title	Original Title	Year	Duration(min)	Decade	Country	Director	Director's Gender	Writer	Writer's Gender	DP	DP's Gender	Producer	Producer's Gender	Genre	Wikidata ID	IMDb ID
The Seahorse	L'Hippocampe	1935	13	1930s	FRA	Jean Painlevé	male	Jean Painlevé	male					Documentary	Q72522881	tt0129994
The Goddess	Shénnǚ	1934	85	1930s	CHN	Wu Yonggang	male	Wu Yonggang	male					Drama	Q2057159	tt0195256
39 Steps	The 39 Steps	1935	86	1930s	GBR	Alfred Hitchcock	male	Charles Bennett/ Alma Reville/ John Hay Beith/ John Buchan	male/ female/ male/ male	Bernard Knowles	male	Michael Balcon	male	Crime/ Mystery/ Thriller	Q501105	tt0026029
Triumph of the Will	Triumph des Willens	1935	114	1930s	DEU	Leni Riefenstahl	female	Leni Riefenstahl/ Walter Ruttmann	female/ male	Franz Weihmayr/ Sepp Allgeier/ Karl Attenberger/ Werner Bohne/ Walter Frentz/ Hans Karl Gottschalk/ Franz Koch/ Paul Karl Lieberenz/ Walter Riml/ Károly Vass	male/ male/ male/ male/ male/ male/ male/ male/ male/ male	Leni Riefenstahl	female	Documentary/ History	Q156497	tt0025913
Top Hat	Top Hat	1935	101	1930s	USA	Mark Sandrich	male	Allan Scott/ Dwight Taylor	male/ male	David Abel	male	Pandro S. Berman	male	Comedy/ Musical/ Romance	Q1139031	tt0027125
Yiddle With His Fiddle	Yidl Mitn Fidl	1936	92	1930s	POL/ USA	Jan Nowina-Przybylski	male	Jan Nowina-Przybylski	male	Jakob Jonilowicz/ Seweryn Steinwurzel	male/ male	Joseph Green	male	Comedy/ Musical/ Romance	Q570320	tt0027231
Night Mail	Night Mail	1936	24	1930s	GBR	Harry Watt/ Basil Wright	male/ male	Basil Wright/ John Grierson/ Harry Watt	male/ male/ male	Jonah Jones	male			Documentary	Q943563	tt0028030
Modern Times	Modern Times	1936	99	1930s	USA	Charlie Chaplin	male	Charlie Chaplin	male	Roland Totheroh/ Ira H. Morgan	male/ male	Charlie Chaplin	male	Comedy/ Drama/ Romance	Q45602	tt0027977
Fury	Fury	1936	89	1930s	USA	Fritz Lang/ Lesley Selander	male/ male	Fritz Lang	male	Joseph Ruttenberg	male	Joseph L. Mankiewicz	male	Crime/ Drama/ Film-Noir	Q884223	tt0027652
La Grande Illusion	La Grande Illusion	1937	124	1930s	FRA	Jean Renoir	male	Jean Renoir/ Charles Spaak	male/ male	Christian Matras	male	Albert Pinkovitch/ Frank Rollmer	male/ male	Drama/ War	Q470336	tt0028950
Rose Hobart	Rose Hobart	1936	19	1930s	USA	Joseph Cornell	male							Short	Q2563239	tt0138758
Weddad	Weddad	1936	130	1930s	EGY	Fritz Kramp	male	Ahmed Badrakhan	male					Drama/ Musical/ Romance	Q3567032	tt0237908
